"Раскрутка сайта www.c-vertical.ru.Занимаюсь подбором ключевых словосочетаний для раскрутки сайта. Подскажите из скольки слов должно быть словосочетание. Например: &quot;строительство зданий из легких металлоконструкций&quot; поисковик найдёт сайт если посетитель наберёт слово &quot;металлоконструкция&quot; или &quot;строительство&quot; или должны быть те словосочетания которые набраны в поисковике. Мы строим разные здания и разные услуги оказываем поэтому много слов получается. В яндекс директ проверяю конечно, но все равно много.",699,"44,48,94,95,47,41,85,42,83"
Раскрутка сайта dentamond-clinic.ru.см. дополнительную информацию,6528,"44,48,95,47,41,85,42,83"
"Вывод в ТОП 10 сайта магические услуги alana999.ru.Подобрать и предоставить клиенту на выбор список фраз для раскрутки, такие как:
приворот
порча
черная магия
обучение колдовству
снимаю порчу
жесткий приворот
Нужет общий бюджет 15 000 р в мес. На этапе раскрутки 40% пойдет на директ.",9403,"44,46,48,94,95,47,41,85,42,83"
Вывод в ТОП10 VitaSolar.ru.Фразы на оценке.,9917,"44,46,48,94,95,47,41,85,42,83"
Раскрутка сайта paradiz-print.ru.,7847,"44,46,48,94,95,47,41,85,42,83"
Раскрутка сайта dentozar.ru.,2151,"44,48,94,95,47,41,85,42,83"
Раскрутка сайта декорплюс.рф.,3912,"44,48,94,95,47,41,85,42,83"
Раскрутка сайта фрэшкофе.рф.,14582,"44,48,94,95,41,85,42,83"
"Продвижение сайта dancity.ru.Двигаем сайт. Фразы брать из КП - https://docs.google.com/spreadsheet/pub?key=0Asc6TZqgDg3cdGxZdW9QOXNUcVV1NC1FSi1DQ0hhMHc&output=html 
Бюджет только там 20/10 соответственно.

Двигаем его ТОП10 Яндекса + директ (на Машу создал заявку) - https://client.abcwww.ru/crm/index.php?action=DetailView&module=HelpDesk&record=17401&parenttab=My%20Home%20Page",7266,"44,48,94,95,47,41,85,42,83"
Контекстная реклама unionsnobs.com.,15954,57
"Продвижение в ТОП-10 unionsnobs.com.Регион: Москва и МО.
Бюджет: 15.000 руб. ( 6 мес.)",15954,"44,48,94,95,47,41,85,42,83"
Раскрутка kover-skazka.ru.Дата начала работ по раскрутке 19.02.2014,20052,"44,46,48,94,95,47,41,85,42,83"
Раскрутка сайта novo-dent.net.,557,"44,46,48,94,95,47,41,85,42,83"
"Вывод в топ10 сайта http://www.elite-opt.ru.Добрый день.
Хотим так же начать раскрутку сайта http://www.elite-opt.ru.
Раскрутка будет только по направлению Оптовая продажа.....
https://docs.google.com/spreadsheet/pub?key=0Asc6TZqgDg3cdFFKQU95aEN1M3RkMnJoSkZDdnM2alE&output=html",20052,"44,46,48,94,95,47,41,85,42,83"
Продвижение интернет-магазина feyashop.ru.https://docs.google.com/spreadsheet/pub?key=0Asc6TZqgDg3cdGZLS09aMlRXdldoYm5wNVVNb2hpaFE&output=html,20052,"44,46,48,94,95,47,41,85,42,83"
Продвижение интернет-магазина elitecarpet.ru.https://docs.google.com/spreadsheet/pub?key=0Asc6TZqgDg3cdGc5SDdfT2xzZWNDakVWQy00NGVzeWc&output=html,20052,"44,46,48,94,95,47,41,85,42,83"
Продвижение сайта золотая-миля62.рф.Продвигаем сайт. Всё - в сделке,27057,"44,48,94,95,47,41,85,42,83"
Раскрутка сайта opticfamily.ru.,26387,"44,48,94,95,47,41,85,42,83"
Раскрутка сайта prostitutki77.ru.,32970,"44,46,48,94,43,95,47,41,85,42,83"
Раскрутка сайта prostitutkimoskov.ru.,56740,"44,46,48,94,43,95,47,41,85,42,83"
